country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Finland,54000000,65000000,38000000,237000000,77000000,81000000,42000000,76000000,23000000,21000000,15000000,5000000,26000000,13000000,174000000,127000000,90000000,30000000,105000000,47000000,328000000,119000000,132000000,112000000,126000000,203000000,97000000,69000000,143000000,85000000,90000000,65000000,435000000,407000000,246000000,197000000,553000000,398000000,552000000,770000000,474000000,9000000,12000000,227000000,77000000,107000000,136000000,108000000,135000000,42000000,52000000,58000000,77000000,296000000,196000000,293000000,160000000,76000000,135000000,70000000
France,507000000,356000000,153000000,63000000,1190000000,255000000,76000000,93000000,113000000,101000000,124000000,141000000,93000000,116000000,52000000,45000000,233000000,250000000,278000000,64000000,70000000,101000000,137000000,103000000,68000000,15000000,96000000,84000000,137000000,107000000,60000000,944000000,420000000,91000000,75000000,97000000,64000000,223000000,174000000,110000000,107000000,66000000,43000000,57000000,93000000,2000000,67000000,74000000,5000000,76000000,103000000,48000000,91000000,107000000,17000000,42000000,45000000,76000000,185000000,102000000
Gabon,,3000000,,,3000000,0,2000000,,2000000,4000000,1000000,24000000,,2000000,10000000,35000000,48000000,28000000,80000000,,26000000,37000000,5000000,11000000,102000000,2000000,7000000,10000000,28000000,10000000,29000000,,,,,,,,,,,,,,6000000,,20000000,18000000,,,22000000,5000000,1000000,2000000,,5000000,3000000,,,7000000
Gambia,,,,,,,,,,0,,,,,,,,,,,,3000000,,,,,,,,12000000,,,,,,,,,,,,,,,5000000,,,,,16000000,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,4000000,28000000,23000000,6000000,85000000,,1000000,37000000,92000000,97000000,161000000,132000000,38000000,,2000000,,5000000,1000000,,,7000000,39000000,4000000
Germany,2030000000,2020000000,2460000000,3280000000,3710000000,3320000000,3210000000,1320000000,1200000000,1260000000,1480000000,2340000000,805000000,1710000000,2110000000,1810000000,1400000000,1050000000,709000000,77000000,165000000,277000000,471000000,437000000,414000000,131000000,311000000,321000000,430000000,708000000,716000000,694000000,685000000,535000000,423000000,228000000,246000000,61000000,543000000,129000000,113000000,133000000,71000000,64000000,238000000,199000000,409000000,75000000,285000000,339000000,282000000,84000000,131000000,113000000,95000000,96000000,55000000,43000000,14000000,39000000
Ghana,12000000,107000000,20000000,6000000,40000000,40000000,24000000,1000000,,,,,12000000,8000000,19000000,28000000,39000000,,18000000,7000000,38000000,50000000,,,,5000000,,13000000,,2000000,4000000,1000000,,,11000000,,7000000,5000000,,7000000,1000000,12000000,1000000,6000000,35000000,0,0,16000000,,11000000,2000000,76000000,39000000,63000000,14000000,13000000,22000000,,0,4000000
Greece,264000000,82000000,330000000,98000000,631000000,486000000,210000000,373000000,104000000,303000000,302000000,585000000,707000000,246000000,418000000,922000000,1310000000,1000000000,1290000000,739000000,675000000,968000000,462000000,404000000,364000000,189000000,202000000,36000000,528000000,1220000000,903000000,484000000,2130000000,864000000,1180000000,874000000,382000000,807000000,1720000000,842000000,708000000,787000000,400000000,2170000000,1110000000,411000000,721000000,1700000000,483000000,1220000000,631000000,71000000,19000000,28000000,204000000,750000000,323000000,52000000,39000000,165000000
Grenada,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,16000000,,1000000,7000000,8000000,5000000,,1000000,16000000,1000000,,46000000,1000000,1000000,15000000,47000000,15000000,1000000,1000000,5000000,8000000,47000000,16000000,1000000,7000000,25000000,2000000,0,0,4000000,0,0,,13000000,4000000,4000000,2000000,,1000000,,,,,,,,,,0,,,,2000000,,,33000000,,,3000000,13000000
