country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Syria,37000000,12000000,20000000,74000000,50000000,77000000,508000000,889000000,805000000,852000000,880000000,731000000,1500000000,3290000000,3440000000,1410000000,500000000,938000000,863000000,2060000000,1870000000,1350000000,1970000000,2230000000,1810000000,1580000000,1260000000,1410000000,1310000000,663000000,739000000,321000000,243000000,173000000,19000000,35000000,35000000,35000000,55000000,58000000,64000000,28000000,45000000,69000000,25000000,35000000,100000000,20000000,294000000,210000000,426000000,496000000,516000000,506000000,21000000,22000000,8000000,25000000,181000000,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,,,,,,,,,,,,13000000,7000000,,34000000,,,,3000000,,,8000000,19000000,3000000,3000000
Tanzania,,,,,4000000,4000000,22000000,1000000,,,11000000,60000000,47000000,118000000,189000000,48000000,,44000000,63000000,260000000,53000000,121000000,9000000,,,,1000000,,,5000000,,,18000000,,4000000,,4000000,,,,2000000,,,51000000,,10000000,12000000,1000000,,25000000,,78000000,115000000,118000000,14000000,20000000,20000000,2000000,32000000,
Thailand,28000000,57000000,111000000,110000000,97000000,89000000,112000000,151000000,67000000,134000000,213000000,239000000,201000000,340000000,97000000,77000000,148000000,104000000,319000000,173000000,308000000,314000000,82000000,325000000,387000000,185000000,165000000,541000000,610000000,270000000,230000000,572000000,497000000,185000000,613000000,528000000,736000000,935000000,76000000,167000000,85000000,117000000,152000000,131000000,114000000,70000000,47000000,8000000,16000000,64000000,46000000,268000000,278000000,358000000,96000000,173000000,336000000,302000000,630000000,301000000
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,14000000,,,,,,,,
Togo,1000000,,,,0,0,,,1000000,1000000,2000000,1000000,,2000000,,14000000,50000000,1000000,9000000,9000000,28000000,19000000,4000000,2000000,,,17000000,0,1000000,,,9000000,8000000,,3000000,3000000,,9000000,,,,,,,,,,,,,1000000,,,,15000000,,,,,2000000
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6000000,6000000,6000000,,,,,0,,,,,,,,,,,,,,,,,,,5000000,,,,7000000
Trinidad and Tobago,,,,,,11000000,0,,,,,,11000000,2000000,,,,,,,22000000,6000000,,,,,,0,,,,,,,,,,,,,11000000,0,2000000,,,,,6000000,,,24000000,12000000,12000000,,,46000000,30000000,,,
Tunisia,44000000,6000000,,7000000,4000000,40000000,,5000000,17000000,23000000,44000000,0,4000000,26000000,14000000,15000000,10000000,93000000,14000000,122000000,103000000,56000000,59000000,103000000,116000000,321000000,,56000000,17000000,48000000,4000000,20000000,32000000,,35000000,56000000,68000000,39000000,18000000,11000000,,,83000000,1000000,,168000000,2000000,,3000000,,7000000,7000000,,38000000,44000000,7000000,29000000,89000000,180000000,15000000
Turkey,592000000,312000000,300000000,616000000,835000000,412000000,330000000,589000000,420000000,639000000,391000000,937000000,1100000000,789000000,1280000000,639000000,365000000,299000000,992000000,919000000,488000000,732000000,483000000,478000000,560000000,690000000,487000000,1440000000,1640000000,1030000000,1290000000,1250000000,1890000000,2350000000,1890000000,1580000000,1510000000,1530000000,2650000000,1740000000,1190000000,510000000,905000000,330000000,257000000,1100000000,531000000,692000000,640000000,732000000,484000000,779000000,1500000000,796000000,1530000000,441000000,331000000,425000000,591000000,833000000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,21000000,,,,7000000,36000000,27000000,236000000,113000000,71000000,74000000,172000000,428000000,92000000,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,7000000
Uganda,,,,,3000000,1000000,16000000,4000000,24000000,12000000,7000000,3000000,20000000,17000000,46000000,125000000,35000000,5000000,,,,,14000000,,,10000000,,31000000,1000000,20000000,,,,,,32000000,,,55000000,39000000,6000000,,34000000,,36000000,10000000,5000000,0,14000000,25000000,37000000,471000000,219000000,20000000,1000000,5000000,1000000,21000000,9000000,1000000
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,23000000,5000000,,65000000,14000000
United Arab Emirates,,,,,,,,,13000000,13000000,69000000,24000000,26000000,93000000,106000000,144000000,270000000,294000000,207000000,18000000,203000000,430000000,159000000,164000000,312000000,144000000,137000000,199000000,42000000,652000000,559000000,235000000,201000000,579000000,566000000,419000000,480000000,688000000,758000000,437000000,247000000,186000000,222000000,685000000,1210000000,2170000000,2020000000,919000000,753000000,597000000,643000000,1240000000,1160000000,2310000000,767000000,1220000000,955000000,965000000,1200000000,644000000
United Kingdom,29000000,34000000,38000000,139000000,118000000,152000000,216000000,1420000000,2290000000,2570000000,60000000,171000000,217000000,233000000,292000000,299000000,213000000,230000000,172000000,226000000,552000000,802000000,767000000,291000000,635000000,363000000,277000000,212000000,280000000,205000000,117000000,936000000,1130000000,784000000,414000000,492000000,568000000,496000000,741000000,125000000,871000000,1280000000,720000000,775000000,217000000,27000000,308000000,776000000,490000000,376000000,490000000,361000000,578000000,494000000,211000000,397000000,259000000,952000000,518000000,377000000
United States,221000000,238000000,264000000,323000000,326000000,190000000,109000000,84000000,70000000,70000000,46000000,589000000,781000000,666000000,594000000,395000000,499000000,387000000,371000000,253000000,380000000,531000000,248000000,463000000,381000000,655000000,420000000,1990000000,1790000000,1780000000,357000000,519000000,551000000,988000000,982000000,788000000,580000000,588000000,264000000,222000000,334000000,493000000,504000000,602000000,570000000,529000000,639000000,829000000,960000000,974000000,1080000000,1000000000,1200000000,789000000,548000000,516000000,458000000,524000000,380000000,1050000000
Uruguay,17000000,0,100000000,0,2000000,8000000,6000000,,10000000,12000000,10000000,16000000,24000000,6000000,5000000,3000000,53000000,2000000,8000000,9000000,21000000,100000000,15000000,17000000,,8000000,,,16000000,41000000,41000000,63000000,25000000,18000000,10000000,9000000,4000000,19000000,27000000,7000000,4000000,,13000000,,,20000000,8000000,3000000,78000000,29000000,20000000,,,3000000,9000000,8000000,,,10000000,1000000
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,9000000,,,,,,,,30000000,,,,17000000,100000000,56000000,,131000000,53000000
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,62000000,30000000,32000000,37000000,2000000,,37000000,236000000,20000000,8000000,15000000,119000000,164000000,395000000,251000000,229000000,176000000,221000000,59000000,15000000,370000000,920000000,704000000,242000000,230000000,517000000,92000000,73000000,101000000,117000000,187000000,316000000,74000000,39000000,1000000,5000000,35000000,37000000,8000000,85000000,108000000,103000000,50000000,15000000,9000000,21000000,380000000,774000000,737000000,358000000,208000000,596000000,687000000,993000000,181000000,167000000,137000000,,,
Vietnam,103000000,95000000,47000000,107000000,248000000,639000000,1130000000,1090000000,1170000000,893000000,1200000000,1180000000,1310000000,1300000000,851000000,485000000,42000000,42000000,227000000,1260000000,1030000000,1090000000,529000000,913000000,554000000,28000000,78000000,50000000,65000000,128000000,116000000,,,,,281000000,212000000,110000000,220000000,163000000,7000000,99000000,58000000,22000000,298000000,221000000,42000000,8000000,187000000,61000000,152000000,1020000000,788000000,362000000,1220000000,862000000,858000000,755000000,577000000,161000000
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78000000,113000000,,,4000000,171000000,,,1000000,51000000,158000000,85000000,593000000,62000000,252000000,315000000,38000000,66000000,40000000,5000000,258000000,45000000,38000000,23000000,6000000,33000000,7000000,6000000,9000000,
Zambia,,,,,7000000,16000000,17000000,,,7000000,4000000,166000000,29000000,19000000,9000000,48000000,109000000,34000000,42000000,4000000,136000000,216000000,48000000,13000000,18000000,,,,,,,,,,,,6000000,,,,33000000,,2000000,,,0,28000000,4000000,2000000,,,1000000,66000000,,,14000000,43000000,44000000,,38000000
Zimbabwe,15000000,,16000000,20000000,,,,16000000,,,,2000000,11000000,0,2000000,31000000,16000000,4000000,13000000,,,15000000,80000000,34000000,26000000,28000000,212000000,29000000,2000000,,2000000,42000000,60000000,0,,,,,1000000,25000000,3000000,10000000,,16000000,13000000,25000000,25000000,,,,,,,,,,,,,
