country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guyana,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,18000000,18000000,37000000,28000000,,,8000000,44000000,8000000,8000000,,,,,4000000,30000000,4000000,4000000,,,,,,,,,,21000000,,6000000,,24000000,,,,,34000000,,,82000000,,9000000,,,,,,41000000,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,1000000,,,7000000,2000000,21000000,24000000,31000000,,,27000000,22000000,,,2000000,,,,,0,1000000,0,3000000,0,3000000,9000000,2000000,2000000,0,0,0,0,21000000,2000000,0,4000000,27000000,19000000,33000000,23000000,15000000,27000000,5000000,3000000,,14000000,36000000,42000000,45000000,56000000,43000000,115000000
Indonesia,,,,7000000,,,,,,,12000000,,,,,,,,9000000,,4000000,,,,,8000000,4000000,,,,,,,16000000,16000000,25000000,,8000000,,49000000,,16000000,49000000,,25000000,8000000,8000000,,1000000,,,8000000,,,,,86000000,94000000,15000000,8000000
Iran,,,3000000,,,,,28000000,,,23000000,6000000,106000000,6000000,129000000,81000000,,,,,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,0,1000000,1000000,1000000,0,1000000,2000000,0,0,0,0,0,3000000,9000000,1000000,2000000,75000000,,43000000,45000000,45000000,86000000,21000000,12000000,47000000,15000000,5000000,20000000,,
Iraq,3000000,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,168000000,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,2000000,9000000,9000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,16000000,32000000,31000000,28000000,28000000,26000000,1000000,26000000,27000000,14000000,,,,,
Israel,,,,,5000000,10000000,14000000,13000000,23000000,24000000,13000000,21000000,31000000,13000000,45000000,109000000,54000000,202000000,212000000,190000000,270000000,219000000,256000000,418000000,281000000,208000000,352000000,137000000,75000000,211000000,85000000,151000000,324000000,382000000,296000000,166000000,286000000,247000000,229000000,169000000,404000000,474000000,579000000,409000000,609000000,510000000,406000000,554000000,373000000,744000000,637000000,538000000,455000000,420000000,393000000,720000000,1390000000,1200000000,655000000,369000000
Italy,104000000,245000000,261000000,240000000,385000000,295000000,243000000,149000000,192000000,325000000,280000000,395000000,296000000,341000000,417000000,526000000,529000000,505000000,691000000,1300000000,1170000000,1720000000,1690000000,1180000000,1260000000,920000000,228000000,617000000,386000000,335000000,206000000,349000000,248000000,341000000,208000000,297000000,291000000,454000000,426000000,504000000,208000000,270000000,467000000,365000000,263000000,832000000,553000000,749000000,422000000,512000000,539000000,947000000,747000000,862000000,671000000,676000000,618000000,793000000,555000000,491000000
Japan,1000000,61000000,100000000,8000000,14000000,,5000000,,,34000000,,15000000,8000000,34000000,53000000,,,,9000000,11000000,167000000,,,17000000,17000000,44000000,99000000,,,15000000,30000000,68000000,126000000,153000000,162000000,158000000,188000000,32000000,,,,,,,,,,40000000,,,,,,,,,,2000000,3000000,
Jordan,,,,,,,,,,,,36000000,,22000000,23000000,50000000,,18000000,,,,,,76000000,,2000000,7000000,,7000000,64000000,,,,,65000000,,,6000000,,,,,,,42000000,20000000,,13000000,13000000,28000000,117000000,,21000000,25000000,114000000,16000000,17000000,80000000,1000000,86000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000,12000000,3000000,6000000,183000000,19000000,12000000,,,5000000,,6000000,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,2000000,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,3000000,,,,,,,,,,,,,24000000,,,,4000000,,,,,,,,,,,,,,95000000,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57000000,,,,,,,,92000000,,,18000000,18000000,14000000,,,,,,,4000000,5000000,5000000,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,45000000,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,0,0,,26000000,4000000,,8000000,398000000,95000000,107000000,168000000,14000000,54000000,32000000,10000000,14000000,64000000,7000000,36000000,,,,3000000,,,3000000,10000000,,,,21000000,16000000,113000000,113000000,18000000,10000000,18000000,32000000,28000000,0,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,60000000,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,7000000,,,,,,,,,,,6000000,,,,,3000000,,,,,,,,0,,,,11000000,,,,,,,,,,0,,,,15000000,15000000,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,5000000,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000,,36000000,,,217000000,,,6000000,42000000,60000000,13000000,,18000000,3000000,19000000,29000000,20000000,,11000000,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000000,109000000,,,18000000,,,,,,,0,,
Morocco,,,2000000,,,,,,,6000000,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,36000000,108000000,99000000,79000000,93000000,99000000,79000000,95000000,350000000,111000000,5000000,161000000,133000000,205000000,82000000,147000000,293000000,446000000,234000000,244000000,619000000,804000000,664000000,465000000,366000000,184000000,352000000,512000000,763000000,558000000,416000000,455000000,365000000,455000000,627000000,473000000,499000000,614000000,624000000,359000000,284000000,203000000,233000000,331000000,204000000,505000000,1150000000,1210000000,446000000,495000000,371000000,546000000,858000000,374000000,631000000,461000000,471000000,1050000000,438000000,285000000
New Zealand,,,,,,,,1000000,1000000,0,,,0,2000000,5000000,3000000,,,,,,1000000,2000000,,10000000,7000000,0,,,,,34000000,4000000,,3000000,,,,,1000000,1000000,,1000000,,1000000,0,,,,,,,75000000,,,1000000,6000000,4000000,6000000,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,2000000,,72000000,17000000,,5000000,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,8000000,12000000,,,,20000000,29000000,5000000,148000000,250000000,88000000,57000000,65000000,212000000,189000000,58000000,4000000,113000000,131000000,137000000,24000000,41000000,47000000,47000000,81000000,55000000,58000000,73000000,162000000,134000000,47000000,20000000,20000000,20000000,20000000,26000000,5000000,,,,1000000,,,,,
Norway,38000000,,25000000,55000000,67000000,65000000,80000000,140000000,65000000,53000000,,8000000,31000000,10000000,,8000000,8000000,8000000,93000000,161000000,158000000,278000000,68000000,35000000,,42000000,29000000,54000000,34000000,127000000,85000000,170000000,75000000,51000000,64000000,21000000,4000000,19000000,3000000,5000000,3000000,42000000,92000000,101000000,66000000,6000000,17000000,65000000,118000000,155000000,159000000,151000000,172000000,175000000,164000000,212000000,122000000,153000000,58000000,32000000
Oman,,,,,,,,,,,,,,,,,,5000000,,,,,,,,,5000000,,,,,,,,0,,,,,,,,,,,1000000,,,,,,,,,,,,7000000,,
Pakistan,,,,,,,,6000000,,,,3000000,,,,,,,,,15000000,30000000,30000000,,,,,,,1000000,82000000,3000000,,,2000000,,,,,,3000000,1000000,9000000,8000000,9000000,24000000,4000000,,1000000,,,,,,,,1000000,3000000,2000000,1000000
Panama,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000
Peru,,,,,,,,,,,,,,,,,,,,,,,53000000,,,,,,,,,,,,,,,,,,,14000000,,,5000000,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,
Poland,5000000,5000000,12000000,111000000,237000000,234000000,319000000,309000000,288000000,323000000,268000000,274000000,272000000,158000000,232000000,299000000,406000000,382000000,317000000,229000000,207000000,346000000,211000000,115000000,90000000,130000000,265000000,222000000,232000000,20000000,105000000,55000000,56000000,,131000000,175000000,46000000,21000000,1000000,64000000,47000000,81000000,56000000,81000000,47000000,18000000,282000000,163000000,73000000,75000000,28000000,8000000,24000000,142000000,24000000,3000000,5000000,15000000,21000000,
Portugal,,,,,,,,2000000,,,,3000000,,5000000,11000000,105000000,21000000,,4000000,4000000,2000000,,,1000000,,,1000000,1000000,,71000000,,,,1000000,,,,,,,,,,,,,,,99000000,46000000,,0,0,,18000000,7000000,172000000,56000000,3000000,3000000
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000,,,,,,9000000,,,,,,,2000000,,,,,0,,,,,,,3000000,11000000
Romania,,,,,,,,,,,,6000000,9000000,9000000,1000000,,,,27000000,44000000,48000000,30000000,91000000,101000000,173000000,99000000,28000000,35000000,52000000,25000000,7000000,5000000,14000000,16000000,29000000,9000000,4000000,11000000,2000000,19000000,3000000,,,24000000,,3000000,8000000,32000000,,2000000,1000000,0,108000000,108000000,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610000000,3440000000,1480000000,3890000000,3570000000,3350000000,2040000000,4260000000,4500000000,5290000000,5750000000,5170000000,6290000000,5230000000,5160000000,5540000000,6250000000,5070000000,6280000000,8730000000,8260000000,7990000000,5530000000,5990000000,6840000000,6020000000,6510000000,4720000000
Saudi Arabia,,,,,,,,4000000,3000000,,,,2000000,,,,0,13000000,,,,33000000,,,3000000,4000000,,,,,,,,12000000,,,1000000,,,,,,,,,,18000000,,,,1000000,62000000,,,,3000000,,,,
Senegal,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,5000000,,,,11000000,,,,,5000000,5000000,45000000,1000000,31000000,4000000,11000000,11000000,10000000,35000000,23000000,2000000,27000000,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,
